nome;tipologia;tel;email;web;link1;link2;tipoticket;datamodifica;abstract;descrizione;comune;codice_istat;provincia;datainizio;datafine;foto_con_autore
Pasquetta a San Vito;semplice;0832 873557 - 339 4894120;info@ghetonia.it;http://www.ghetonia.it; ; ;gratis;14-mar-16;A Calimera  nella chiesa rurale di S. Vito   si svolge nel giorno di Pasquetta  il rito dell'attraversamento del buco nella &#34 pietra forata&#34   masso forato al centro della chiesa. Antico rito precristiano propiziatorio di fertilit&#224   assorbito dal Cristianesimo.;Un megalite  un men-an-thol  spunta dal pavimento al centro di una chiesa  dedicata a San Vito  a circa 500 metri dal centro abitato di Calimera (Le). I men-an-thol (pietre forate) sono stati i riferimenti  precristiani  per i riti di propiziazione di fertilit&#224  e benessere. I fenomeni delle pietre forate si ritrovano in tutto il mondo  perch&#233  basati sull'istinto  uguale per tutti gli uomini. Prima del nascere delle  religioni  i bisogni degli uomini si risolvevano in altro modo. Per risolvere il primo bisogno  la vita  si ricorreva  a pietre che richiamavano schematicamente il sesso dell'uomo (menhir) e quello della donna (men-an-thol). Attorno ad esse si danzava o  nel caso della pietra forata  si attraversava il buco. Il Cristianesimo ha assorbito il fenomeno  senza mai nominarlo (n&#233  in atti n&#233  nelle Sante Visite). Oggi  la chiesetta &#232  chiusa  ma ogni anno viene aperta a Pasquetta e nei pressi si celebra la S.Messa (ore17 30). Dal mattino alla sera  una fila continua di persone  dai bambini ai vecchi  attraversa il foro nella pietra (per gioco ma... non si sa mai)  e si ha il recupero sostanziale della tradizione. &#13 &#10 Nella campagna intorno  tanta gente apre tavoli  stende tovaglie per pic-nic e festeggia la primavera. &#13 &#10 Durante l'anno la chiesa &#232  chiusa. Per visitarla  ci si pu&#242  rivolgere alla &#34 Casa-museo della Civilt&#224  Contadina e della Cultura Grika&#34  ( 0832 873557  339 4894120  info@ghetonia). ;Calimera;75010;LE;28-mar-16;28-mar-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11268**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11269**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11270**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11271**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11272**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11273**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11274
El Pasquettone alla Masseria Ospitale di Lecce ;semplice;3285366317;ufficiostampa@bazingaticket.com;http://www.bazingaticket.com/el-pasquettone-alla-masseria-ospitale-di-lecce/;https://www.facebook.com/events/232653080411274/; ;pagamento;11-mar-16;Torna luned&#236  28 marzo il tradizionale appuntamento con El Pasquettone  la giornata di musica e divertimento nella splendida cornice della Masseria Ospitale di Lecce.;Diventato ormai un appuntamento fisso  El Pasquettone &#232  un evento pensato per fare divertire tutti  dai giovani alle famiglie  all'interno di una location in cui ogni aspetto &#232  curato nei minimi dettagli.&#13 &#10 Tanta buona musica  cibo e bevande a volont&#224   campi fioriti e voglia di ballare sono gli ingredienti di una festa ogni anno diversa  sempre coinvolgente ed affascinante.&#13 &#10 A partire da mezzogiorno  spazio alla musica con i dj set di Tobia Lamare e Carlo Chicco da ControRadio Bari. Insieme a loro  dalla Lobello Records Family  Sonda  Mr Octopus  Flower e Maui Church  da ZeroWeb Radio Frank Lucignolo  Master Crash e Stef Nutz.&#13 &#10 El Pasquettone &#232  anche musica live  con gli show di Playontape  Misteri Del Sonno  Zeman  Fake Mess  Teenage Riot  Heidi For President  La Rocha  Atollo13 e Gradino23.&#13 &#10 Musica per tutti i gusti dunque  ed a completare una line up di tutto rispetto uno straordinario ospite internazionale: Dave Rowntree (Blur). Batterista di una delle band pi&#249  rappresentative ed influenti del britpop  Dave Rowntree sprigioner&#224  tutto il sound d&#8217 oltremanica  per un dj set tutto da ballare.&#13 &#10 Alla Masseria Ospitale sono benvenuti tutti: bambini  coppiette  single incalliti  motociclisti  lambrettisti  alfasud  biciclette  maratoneti  campioni di pattinaggio  scalatori  amanti della parmigiana  vegani e vegetariani  bevitori di birra e astemi  amanti degli sport estremi o dei giochi da tavolo. Insomma tutte le persone che vogliono trascorrere una pasquetta di puro divertimento.;Lecce;75035;LE;28-mar-16;28-mar-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11587**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11588
PASQUETTA FOLK FOR EVER '16;semplice;0881.547827 - 333.4495798;masseriasantagapito@gmail.com;https://www.masseriasantagapito.it;https://www.facebook.com/events/1580928182229943/?active_tab=highlights;https://it.pinterest.com/santagapito/;pagamento;08-mar-16;Come tutti gli anni  fedelissimi alla consolidata Pasquetta   ci accingiamo a rinnovare il rito  quest'anno avvalendoci anche della preziosa collaborazione dei gruppi danza e associazioni folk delle province di Foggia  BAT e Bari che animeranno dalla mattina alla sera la nostra scampagnata. ;Suoneranno per noi ANDREA CAPEZZUOLI E COMPAGNIA  musicisti ben noti alla compagine danzereccia dei grandi Festival italiani ed europei  tra cui Zingar&#236 a e Capodanze organizzati da CAROVANA FOLK ART. Gruppo raccomandato dal D.A. Francesco Marino che  insieme agli altri insegnanti di Ethnos (Lucera) e Agorart  (Biccari) si alterneranno nell'animazione danzante della giornata: bal folk  balcaniche  israeliane  danze del sud ed altro ancora. Sono benvenuti altri musicisti ed artisti (contattare la direzione artistica per farsi inserire in scaletta). &#13 &#10 Tutti in pista anche con i DJ-SET MADE IN ACIDO DOMINGO// PIERLUIGI DJ-SELECTA  che  sempre per tradizione  ci accompegneranno fino a sera inoltrata.&#13 &#10 Insomma  non resta che partecipare copiosi e  consigliamo come sempre di attrezzarsi bene per il porta-teco  prima di tutto portando tanta ALLEGRIA ! &#13 &#10 Per chi invece volesse pranzare alla Locanda della Masseria  ricordiamo che abbiamo pochi posti a disposizione per tanto &#232  necessario affrettarsi a prenotare. &#13 &#10 Per l'animazione gli organizzatori :&#13 &#10 Francesco Marino : 380.4379140&#13 &#10 Raffaella Spirito : 329.4743676&#13 &#10 Ernesta Salandra : 340.312 9731;Lucera;71028;FG;28-mar-16;28-mar-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11513**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11514**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11515**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11516**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11517
CANTIERI COMICI;semplice;080-4805080; ;http://www.teatropubblicopugliese.it/teatro/teatro-verdi_69.html;http://www.teatropubblicopugliese.it; ;pagamento;06-nov-15;Sirio&#13 &#10 Con Tommy Terrafino  Vincenzo Albano  Carmine Del Grosso  Daniela Baldassarra&#13 &#10 di ALESSANDRO TAGLIENTE&#13 &#10 &#13 &#10 Lo spettacolo   nasce dalla ;Sirio&#13 &#10 Con Tommy Terrafino  Vincenzo Albano  Carmine Del Grosso  Daniela Baldassarra&#13 &#10 di ALESSANDRO TAGLIENTE&#13 &#10 &#13 &#10 Lo spettacolo   nasce dalla manifestazione madre &#8220 Risollevante Cabaret Tour&#8221   e si adatta per l&#8217 occasione al Teatro. Cantieri Comici prevede la performance dei migliori comici emersi al Festival del Cabaret Citt&#224  di Martina Franca (prodotto anch&#8217 esso dall&#8217 Associazione Culturale Sirio). Ogni tappa teatrale conta la presenza fissa del conduttore-comico: il vincitore assoluto dell&#8217 ultima edizione del Festival  il tarantino DOC Vincenzo Albano  Il vincitore dell&#8217 edizione 2014 Tommy Terrafino (degno rappresentante della Puglia a &#8220 Boss dei Comici&#8221  su La7)  Il campano Carmine Del Grosso e  a tingere di rosa la serata ci penser&#224  l&#8217 altamurana Daniela Baldassarra. Il divertimento &#232  garantito!;Martina Franca;73013;TA;31-mar-16;31-mar-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=9986
CONCERTO SINFONICO;semplice;0803101222;info@teatromercadantealtamura.it;http://teatromercadantealtamura.it/2014/; ; ;pagamento;02-nov-15;Due capolavori del sinfonismo europeo incorniciano il gioiello mozartiano  ultimo dei quattro concerti per corno e orchestra scritti da Mozart e ;Due capolavori del sinfonismo europeo incorniciano il gioiello mozartiano  ultimo dei quattro concerti per corno e orchestra scritti da Mozart e dedicati al virtuoso Leutgeb. Mozart lo termin&#242  a Vienna nel giugno 1786 ma fu pubblicato solo molti anni dopo la sua morte. Lo strumento richiesto era a quel tempo il &#8220 corno naturale&#8221  che aveva bisogno di appositi congegni (le ritorte) per poter passare da una tonalit&#224  all&#8217 altra. &#13 &#10 &#13 &#10 Alessio Allegrini &#232  uno dei massimi virtuosi al mondo dello strumento. La sua presenza insieme al prestigioso direttore Roland Boer &#232  un nuovo signifi&#30 cativo gesto di generosit&#224  e amicizia nei confronti del Teatro Mercadante di Altamura da parte della Fondazione Lirico Sinfonica Petruzzelli di Bari. &#13 &#10 &#13 &#10 Sergej Sergeevic Prokof&#8217 ev (1891-1953) Sinfonia n.1 in re maggiore op. 25 &#8220 Classica&#8221   I. Allegro II. Larghetto  III. Gavotta: Non troppo allegro IV. Finale: Molto vivace. Wolfgang Amadeus Mozart (1756-1791) Concerto n. 4 in Mibemolle K.495 per corno e orchestra  I. Allegro moderato II. Romanza III. Rond&#242 . Franz Schubert (1797-1828) Sinfonia n. 4 in do minore op. 120 D.417 &#8220 Tragica&#8221   I. Adagio molto &#8211  Allegro vivace II. Andante  III. Minuetto &#8211  Allegretto vivace IV. Allegro. Orchestra Sinfonica del Teatro Petruzzelli. Alessio Allegrini Corno solista  Roland Boer Direttore. ;Altamura;72004;BA;31-mar-16;31-mar-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=9872
I DUELLANTI;semplice;328.6917948;promozione@teatropubblicopugliese.it;http://www.teatropubblicopugliese.it/stagione_rassegna/stagione-di-prosa-15-16-comune-di-bari_191.html ; ; ;pagamento;12-ott-15;Un romanzo esemplare  scritto da Joseph Conrad  un polacco che  in inglese  racconta una sorprendente storia francese. L'idea geniale su cui Conrad ;Un romanzo esemplare  scritto da Joseph Conrad  un polacco che  in inglese  racconta una sorprendente storia francese. L'idea geniale su cui Conrad costruisce &#8220 The Duel&#8221  &#232  che i due avversari non si fronteggiano sugli opposti versanti del campo di battaglia: sono ufficiali dello stesso esercito  la Grande Arm&#233 e di Napoleone Bonaparte. Per motivi a tutti ignoti inanellano sfide a duello che li accompagnano lungo le rispettive carriere  senza che nessuno sappia il perch&#233  di questo odio cos&#236  profondo. I due diventano famosissimi in tutto l'esercito napoleonico per la loro eroica fedelt&#224  alla loro sfida reciproca  che li accompagner&#224  per vent'anni  fino al duello decisivo. Un'opera su di un mondo in rapida estinzione  e al tempo stesso un capolavoro dell'assurdo  su come i fili della vita e del destino sfuggano di mano e sopravanzino ogni buon senso e prevedibilit&#224 .  Gabriel Florian Feraud  guascone iroso e scontento  e Armand D'Hubert  posato e affascinante uomo del nord  non sono semplicemente due giovani promettenti  e sconcertanti ufficiali del pi&#249  grande esercito dell'Ottocento  ma a modo loro incarnano incubi e ossessioni che &#8211  da Melville a Faulkner  da Kafka fino ad Albert Camus &#8211  accompagnano la cultura occidentale fino allo sfacelo della seconda guerra mondiale.&#13 &#10 &#13 &#10 Goldenart&#13 &#10 Di Joseph Conrad&#13 &#10 Drammaturgia di Alessio Boni &#8211  Roberto Aldorasi &#8211  Marcello Prayer &#8211  Francesco Niccolini&#13 &#10 Regia ALESSIO BONI - ROBERTO ALDORASI;Bari;72006;BA;31-mar-16;03-apr-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=9385 (ph Federico Riva) 
EUGENIO FINARDI in &#8220 PAROLE &#38  MUSICA&#8221  ;semplice;099 7303972;info@amicidellamusicataranto.it;http://www.amicidellamusicataranto.it/artista13.html;https://www.facebook.com/amicidellamusica.arcangelosperanza/?ref=hl; ;pagamento;25-nov-15;EUGENIO FINARDI in &#8220 PAROLE &#38  MUSICA&#8221  &#13 &#10 con PAOLO GAMBINO  tastiere - FEDERICA FINARDI GOLDBERG  violoncello &#13 &#10 GIOVANNI MAGGIORE  chitarre &#13 &#10 &#13 &#10 ;La fortunata carriera live di Eugenio Finardi si arricchisce del consolidato progetto Parole &#38  Musica  concerto caratterizzato da un'atmosfera intima e coinvolgente per raccontarsi  e raccontare  in musica. Con quarant'anni di carriera alle spalle  Finardi si &#232  infatti accorto che  insieme alle canzoni  spesso dal pubblico veniva la richiesta di una testimonianza  dal suo personalissimo punto di vista  dell&#8217 epoca straordinaria di cui &#232  stato protagonista.  Durante questi incontri  Eugenio Finardi sottolinea le riflessioni sul suo tempo con brani dal suo repertorio  dalla tradizione Blues e con improvvisazioni che scaturiscono dalla conversazione  mai uguale sera dopo sera. Uno spazio d&#8217 intrattenimento nel quale la musica si mescola alle parole e al racconto e che conferma Finardi come un artista che sa parlare all&#8217 anima della gente  oltre che stupire e divertire con le sue doti affabulatorie. Energico interprete e finissimo intrattenitore  Eugenio Finardi &#232  considerato un outsider per il suo atteggiamento indipendente  conservato nonostante l'immensa popolarit&#224  raggiunta in 40 anni di attivit&#224  musicale: la sua natura sperimentatrice e non etichettabile gli &#232  valsa la definizione di &#8220 primo vero indie&#8221  da parte dell'attuale scena cantautorale italiana  che vede in lui un modello di riferimento e un &#34 guru&#34 . ;Taranto;73027;TA;31-mar-16;31-mar-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=10275**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=10274**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=10276
UNITANZ Abend;semplice;0832246517;teatropaisiello@gmail.com;http://www.comune.lecce.it;http://www.teatropubblicopugliese.it/teatro/teatro-paisiello_60.html; ;pagamento;26-feb-16;KoreoProject&#13 &#10 &#13 &#10 Spettacolo di danza in cui si alternano duetti e assoli di tre interpreti. Le coreografie sono caratterizzate dal comune legame con la;KoreoProject&#13 &#10 &#13 &#10 Spettacolo di danza in cui si alternano duetti e assoli di tre interpreti. Le coreografie sono caratterizzate dal comune legame con la Folkwang Universit&#228 t der Kunste  dove gli autori si sono formati e presso la quale due di loro sono docenti.&#13 &#10 &#13 &#10 Titi2&#13 &#10 Coreografia Giorgia Maddamma&#13 &#10 Danza Giorgia Maddamma  Sara Bizzoca&#13 &#10 &#13 &#10 Barke (Premi&#232 re)&#13 &#10 Coreografia e Danza Stephan Brinkmann&#13 &#10 &#13 &#10 Nous Deux&#13 &#10 Coreografia Malou Airaudo&#13 &#10 Danza Giorgia Maddamma&#13 &#10 &#13 &#10 Crash&#13 &#10 Coreografia e Danza Sara Bizzoca&#13 &#10 &#13 &#10 Try Zwei&#13 &#10 Coreografia e Danza Giorgia Maddamma e Stephan Brinkmann;Lecce;75035;LE;31-mar-16;31-mar-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11369
NOTE DI UN VIAGGIO;semplice; ; ;http://www.teatropubblicopugliese.it;http://www.teatropubblicopugliese.it/spettacolo/note-di-un-viaggio_2436.html; ;pagamento;15-dic-15;di e con Pino Ingrosso e con Mario Rugge - chitarre  Gianluigi Oliva - basso e cori  Davide Chiarelli - percussioni e tamburi Daniela Guercia - voce ;di e con Pino Ingrosso e con Mario Rugge - chitarre  Gianluigi Oliva - basso e cori  Davide Chiarelli - percussioni e tamburi Daniela Guercia - voce recitante  cori e colori percussivi.&#13 &#10 &#13 &#10 Pino Ingrosso  la voce solista di Nicola Piovani  &#232  l&#8217 autore di Note di un viaggio  un viaggio teatrale musicale  viaggio che scandisce  con leggerezza e un pizzico di nostalgia  modi  tradizioni  costumi e usanze del Salento rivissuti attraverso i ricordi d&#8217 infanzia  i racconti degli anziani  le sonorit&#224  tipiche  colori  suoni e profumi capaci di rievocare una civilt&#224  ancestrale comune non solo al Sud d&#8217 Italia  ma a tutti i Sud del mondo. Uno spettacolo sulla poetica della terra  quindi  e sulla filosofia degli antichi&#13 &#10 saperi  un percorso di aiuto nella riflessione  il regalo di una nuova prospettiva che ci aiuti a riflettere su come siamo  per meglio comprendere come dovremmo essere.;Melendugno;75043;LE;01-apr-16;01-apr-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=10628
THE MAGICAL FRONTIER OF SAX - Conservatorio Tito Schipa di Lecce;semplice;0832242000 ;info@teatrokoreja.it;http://www.teatrokoreja.it/koreja/home.php;https://www.facebook.com/cantieriteatralikoreja/?fref=ts; ;pagamento;23-nov-15;L&#8217 ensemble di Saxofoni Salento Sax Ensemble &#232  formato da giovani musicisti ed ex alunni delle classi di sax del Conservatorio di musica T. Schipa;L&#8217 ensemble di Saxofoni Salento Sax Ensemble &#232  formato da giovani musicisti ed ex alunni delle classi di sax del  Conservatorio di musica T. Schipa di Lecce e Ceglie Messapica  la cui direzione &#232  affidata al M&#176  Alessandro Trianni. La formazione nasce dal desiderio di far conoscere la musica come linguaggio universale  filtrando e sintetizzando le proprie esperienze in una scrittura pi&#249  ricercata ed inconfondibilmente personale. Affrontando una letteratura contemporanea  d&#8217 avanguardia  popolare e jazz  il repertorio &#232  vario e va dalla trascrizione e arrangiamenti di brani popolari sino alla musica colta di grandi musicisti del passato e dei nostri giorni. Una formazione che con la sua musica sembra essere lo specchio ideale nel quale ricercare un punto d&#8217 incontro fra emozioni  istinto e ricerca personale.;Lecce;75035;LE;01-apr-16;01-apr-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=10171
COL TRAMONTO SU UNA SPALLA;semplice;099 4725780 - 366.3473430; ;http://www.teatropubblicopugliese.it; ; ;pagamento;13-ott-15;C.R.E.S.T.&#13 &#10 spettacolo-concerto dei Fratelli Mancuso&#13 &#10 con Gaetano Colella&#13 &#10 &#13 &#10 Straordinari ambasciatori nel mondo della Sicilia  attraverso il loro ;C.R.E.S.T.&#13 &#10 spettacolo-concerto dei Fratelli Mancuso&#13 &#10 con Gaetano Colella&#13 &#10 &#13 &#10 Straordinari ambasciatori nel mondo della Sicilia  attraverso il loro canto arcaico e suggestivo i Fratelli Mancuso interpretano in questo spettacolo-concerto il mondo complesso e immaginifico del Sud  contrappuntati dalla recitazione di Gaetano Colella. Il Sud raccontato attraverso i canti  le nenie antiche provenienti da un universo dimenticato  ma anche attraverso le pagine dei suoi poeti e dei suoi autori che ne descrivono eccessi  storture  meraviglie  controsensi e genialit&#224 . Il canto arcaico dei Mancuso si incastra alla moltitudine di voci ironiche e pungenti di Gaetano Colella per un racconto che &#232  un viaggio nella terra &#8216 meridiana&#8217 .;Taranto;73027;TA;01-apr-16;02-apr-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=9447
IL BUGIARDO;semplice; ; ;http://www.teatropubblicopugliese.it;http://www.teatropubblicopugliese.it/teatro/teatro-verdi_45.html; ;pagamento;29-ott-15;Gitiesse Artisti Riuniti&#13 &#10 Geppy Gleijeses  Marianella Bargilli&#13 &#10 adattamento di Alfredo Arias e Geppy Gleijeses  con la partecipazione di ANDREA ;Gitiesse Artisti Riuniti&#13 &#10 Geppy Gleijeses  Marianella Bargilli&#13 &#10 adattamento di Alfredo Arias e Geppy Gleijeses  con la partecipazione di ANDREA GIORDANA  di Carlo Goldoni  scene e costumi Chloe Obolensky&#13 &#10 con Lorenzo Gleijeses Mauro Gioia  con Valeria Contadino  Luciano D&#8217 Amico  Luchino Giordana&#13 &#10 regia di ALFREDO ARIAS&#13 &#10 &#13 &#10 &#8220 Il bugiardo&#8221  &#232  una commedia scritta da Carlo Goldoni ispirata alla &#8220 Verdad sospechosa&#8221  dello spagnolo Juan Ruiz de Alarc&#243 n. Fu rappresentata per la prima volta a Mantova nel 1750 e fu stampata a Firenze nel 1753. Con questa commedia Goldoni cerca di trasmettere un insegnamento che &#232  rintracciabile nella vita di tutti i giorni  fa capire come in realt&#224  le bugie sono solo uno strumento che in ogni caso  si ritorce contro i bugiardi. Ma riesce a farlo grazie all'ausilio del dialetto veneziano  attribuito alle maschere  a far ridere lo spettatore e a renderlo in effetti quasi partecipe all'interno della storia  i dialoghi rapidi e semplici non danno tempo di pensare ma riescono con molta semplicit&#224  a far capire come in realt&#224  l'uomo si trova continuamente di fronte ad un bivio e per il proprio orgoglio sceglie sempre la via meno giusta  anche dicendo bugie e poi ancora bugie.;San Severo;71051;FG;01-apr-16;01-apr-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=9679
Il Mangianastri: O A K live;semplice;339 898 7178;info@piccolabottegapopolare.it; ;https://www.facebook.com/Il-Mangianastri-456639124478979/?fref=ts; ;gratis;15-mar-16;Matteo e Greg suonano insieme da una vita. Greg scrive canzoni per se stesso e per altri  Matteo vive a Londra  dove si &#232  laureato in musica. Insieme;Matteo e Greg suonano insieme da una vita. Greg scrive canzoni per se stesso e per altri  Matteo vive a Londra  dove si &#232  laureato in musica. Insieme hanno collaborato con artisti come Samuele Bersani e Lucio Dalla. Nel 2013 si ritrovano e cominciano a comporre  nel corso di pomeriggi deliranti  in cerca di rime e di idee  con drum machine  chitarra e synth  e diventano OAK  insieme ad Ilaria e Fabio.&#13 &#10 We Were Elsewhere &#232  il loro ep d'esordio  quattro canzoni a cavallo tra songwriting e ritmi  dove la prepotenza della voce si sposa perfettamente a un tappeto musicale curato ed evocativo. Un ep romatico  intimo  diretto ed onesto.&#13 &#10 Quattro storie senza tempo  dove i Beatles smanettano con l'arpeggiatore tra i Divine Comedy e la Akron/Family  Phoenix e Badly Drawn Boy. Prodotto e registrato all'Alpha Dept. Studio di Bologna da Andrea Suriani (M+A  Drink To Me  I Cani)  We Were Elsewhere &#232  un manuale sull&#8217 amore e sulle sue fasi. ;Alberobello;72003;BA;01-apr-16;01-apr-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11678
LOOM;semplice;0883-332456 / 0883-332522; ;http://www.teatrocurci.it ;http://www.teatropubblicopugliese.it;http://www.teatropubblicopugliese.it/teatro/teatro-curci_50.html;pagamento;24-nov-15;Centre Chor&#233 graphique National de Rillieux-la-Pape&#13 &#10 musiche Nico Muhly Drones &#38  piano (part I  II  III - 8th tune  IV) et Finale  luci Nicolas ;Centre Chor&#233 graphique National de Rillieux-la-Pape&#13 &#10 musiche Nico Muhly Drones &#38  piano (part I  II  III - 8th tune  IV) et Finale  luci Nicolas Boudier  costumi Aude Bretagne et Pierre-Yves Loup-Forest  Coproduction  cr&#233 ation et r&#233 sidence Les Subsistances&#13 &#10 Con Julie Charbonnier  Madoka Kobayashi&#13 &#10 Coreografia YUVAL PICK;Barletta;110002;BT;02-apr-16;02-apr-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=10253
IN NOME DEL POPOLO ITALIANO;semplice; ; ;http://www.teatropubblicopugliese.it;http://www.teatropubblicopugliese.it/tipo_rassegna_5_corato_2323.html; ;pagamento;24-nov-15;scenografia di Riccardo Mastrapasqua  costumi di Marianna De Pinto  disegno luci di Roberto Colabufo  ufficio stampa Carmela Moretti  foto di scena di;scenografia di Riccardo Mastrapasqua  costumi di Marianna De Pinto  disegno luci di Roberto Colabufo  ufficio stampa Carmela Moretti  foto di scena di Arianna Tempesta&#13 &#10 con Franco Ferrante  Marco Grossi  Marianna De Pinto  Rossella Giugliano  Raffaele Braia  Maurizio Semeraro  Ivan Dell&#8217 Edera  Enzo Toma&#13 &#10 regia di MICHELE BIA&#13 &#10 &#13 &#10 In Nome del Popolo Italiano  tratto dall&#8217 omonimo film di Dino Risi  del 1971  fotografa la realt&#224  di un'Italia crepata dalla corruzione dai vertici fino alle fondamenta. Un'Italia divisa in posizioni ideologiche non solo differenti e contrapposte  ma sempre in conflitto fra loro  irrispettose l'una dell'altra e pronte a sopraffare la parte avversa con qualsiasi mezzo a disposizione fino ad ottenerne il pi&#249  completo annientamento. Un popolo che truffa e che &#232  truffato  ma  noncurante dei propri mali  &#232  sempre pronto a fermarsi e ad unire tutte le sue differenti realt&#224  di fronte ad una partita di calcio. &#13 &#10 ;Corato;72020;BA;02-apr-16;02-apr-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=10262
Bif&#38 st Bari International Film Festival 2016 - 7^ Edizione ;rassegna;0805245430;info@bifest.it;http://www.bifest.it;http://www.bifest.it/news/bifst-2016-il-programma.html; ;pagamento;09-mar-16;Per gli amanti del cinema &#232  un appuntamento da non perdere  il Bif&#38 st &#232  una full immersion di proiezioni  dibattiti e lezioni di cinema in Puglia.;Benvenuti in Puglia  terra di cinema che ogni anno dal 2010 propone il Bari International Film Festival  un evento imperdibile per gli operatori di settore e per gli appassionati. Il Bif&#38 st ideato da Felice Laudadio  promosso dalla Regione Puglia e prodotto dalla Apulia Film Commision propone un ricco cartellone tra film in concorso  anteprime nazionali e internazionali  retrospettive  cortometraggi  documentari  mostre  seminari e una serie di eventi speciali che celebrano il cinema in tutte le sue forme di espressione.&#13 &#10 &#13 &#10 Il presidente della Regione Michele Emiliano e il direttore del Bif&#38 st Felice Laudadio hanno deciso di dedicare la prossima manifestazione a Ettore Scola che ha seguito e dettagliatamente curato fino a pochi giorni prima della sua scomparsa il programma del Bif&#38 st 2016  con un tributo incrociato con quello gi&#224  da tempo annunciato per Mastroianni. &#13 &#10 Il tema del prossimo Bif&#38 st sar&#224  quindi  Scola-Mastroianni 9&#189 . C&#8217 eravamo tanto amati  giacch&#233  il regista ha diretto pi&#249  di chiunque altro l&#8217 attore scomparso 20 anni fa lavorando insieme in ben 9 film di lungometraggio  pi&#249  un film ad episodi  che verranno presentati l&#8217 uno dopo l&#8217 altro. &#13 &#10 Sar&#224  inoltre istituito il Premio Ettore Scola per il miglior regista di opera prima o seconda che verr&#224  assegnato  insieme ai Premi Gabriele Ferzetti e Mariangela Melato per il migliore attore e la migliore attrice  dalla giuria del pubblico presieduta dal giornalista e scrittore Furio Colombo. &#13 &#10 Clicca su &#34 Link utili&#34  per conoscere il programma dettagliato del Festival.&#13 &#10 ;Bari;72006;BA;02-apr-16;09-apr-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=6021**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=6022**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11073**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11578
